,ID,ScreenType_Name
0,1,1600x900
1,2,IPS Panel Full HD 2560x1440
2,3,IPS Panel Touchscreen 2400x1600
3,4,IPS Panel Retina Display 2880x1800
4,5,Touchscreen / Quad HD+ 3200x1800
5,6,IPS Panel Quad HD+ 3200x1800
6,7,Touchscreen / Full HD 1920x1080
7,8,IPS Panel Quad HD+ 2560x1440
8,9,Touchscreen 1366x768
9,10,Full HD 1920x1080
10,11,IPS Panel Full HD 1366x768
11,12,IPS Panel Retina Display 2736x1824
12,13,IPS Panel 4K Ultra HD / Touchscreen 3840x2160
13,14,Quad HD+ 3200x1800
14,15,IPS Panel Quad HD+ / Touchscreen 3200x1800
15,16,1366x768
16,17,1440x900
17,18,IPS Panel Full HD 2160x1440
18,19,IPS Panel Touchscreen 2560x1440
19,20,IPS Panel 2560x1440
20,21,IPS Panel 4K Ultra HD 3840x2160
21,22,4K Ultra HD 3840x2160
22,23,Full HD / Touchscreen 1920x1080
23,24,IPS Panel Full HD / Touchscreen 1920x1080
24,25,IPS Panel Full HD 1920x1200
25,26,4K Ultra HD / Touchscreen 3840x2160
26,27,Touchscreen 2256x1504
27,28,Touchscreen / 4K Ultra HD 3840x2160
28,29,IPS Panel 1366x768
29,30,IPS Panel Touchscreen / 4K Ultra HD 3840x2160
30,31,IPS Panel Full HD 1920x1080
31,32,Quad HD+ / Touchscreen 3200x1800
32,33,IPS Panel Touchscreen 1920x1200
33,34,Touchscreen 2400x1600
34,35,IPS Panel Retina Display 2560x1600
35,36,1920x1080
36,37,2560x1440
37,38,Touchscreen 2560x1440
38,39,IPS Panel Touchscreen 1366x768
39,40,IPS Panel Retina Display 2304x1440
